url,title,tag,time,short_text,long_text
https://www.reuters.com/article/brief-soundcloud-says-to-layoff-173-empl-idUSFWN1JX0GS,BRIEF-SoundCloud says to layoff 173 employees and consolidate offices - blog,,"July 6, 2017 /  4:09 PM / 21 days ago",,"July 6 (Reuters) - * SoundCloud says took the step to let go of 173 SoundCloud staffers and consolidated the team into two offices: Berlin and New York - blog * SoundCloud says by reducing costs and continuing revenue growth, on path to profitability and in control of SoundCloud's independent future - blog Source text - bit.ly/2sQDuMq"
https://www.reuters.com/article/idUSL5N1FD0MP,BRIEF-Alma Market to layoff 425 employees,,"January 23, 2017 /  6:20 AM / 6 months ago",,Jan 23 (Reuters) - Alma Market SA : * Said on Friday that it is planning further layoffs in the company concerning 425 employees * The direct causes of redundancies is the reduction of unprofitable retail outlets and the intention to reduce employment at the headquarters in connection with reducing scale of operations Source text for Eikon: Further company coverage: Gdynia Newsroom
https://www.reuters.com/article/gm-layoffs-idUSL2N1GJ0M7,"GM will layoff 1,100 in Michigan after production shift",,"March 6, 2017 /  3:11 PM / 5 months ago",,"WASHINGTON, March 6 (Reuters) - General Motors Co said Monday it will layoff 1,100 workers in May at its Lansing Delta Township assembly plant in Michigan as it shifts production of a vehicle to Tennessee. The largest U.S. automaker last year added 800 jobs at its Spring Hill, Tennessee plant to build a new version of the GMC Acadia SUV. The Lansing plant will continue to build the Buick Enclave and Chevrolet Traverse after it retools for a month. GM has announced some other U.S. factory cuts in recent months even as it said in January it would invest another $1 billion in U.S. factories.     (Reporting by David Shepardson)"
https://www.reuters.com/article/us-amazon-com-quidsi-idUSKBN1702TJ,Amazon plans layoffs at Quidsi unit after losses,,"March 29, 2017 /  6:58 PM / 4 months ago",,"(Reuters) - Amazon.com Inc (AMZN.O) plans to cut 263 jobs at its money-losing parenting products unit Quidsi this summer as part of a business restructuring, it said in a notice filed with New Jersey on Wednesday. The New Jersey-based subsidiary operates Diapers.com, Soap.com and other websites. We have worked extremely hard for the past seven years to get Quidsi to be profitable and unfortunately we have not been able to do so, an Amazon spokeswoman said in a statement. Quidsi's software development team will focus on building technology for the grocery delivery service AmazonFresh, the statement said. The move underscores a shift in Amazon's focus to groceries and other areas since it closed its $500 million cash acquisition of Quidsi in 2011. Fresh food represents a large and fledgling market for online retailers, in contrast to goods such diapers that have been the subject of price wars in recent years. Consumables like soap and pet food are often priced very competitively by retailers in order to drive price perception and ultimately drive online and in-store traffic, said Guru Hariharan, chief executive of retail technology company Boomerang Commerce. While unfortunate, the shutting down of the Quidsi sites isn't completely surprising. The market appeared to welcome Amazon's attention to losses at the subsidiary, unusual for a company that has prioritized long-term investments over profit. Amazon's stock briefly hit a record high of $876.44 before closing at $874.32. Its chief executive and largest shareholder, Jeff Bezos, gained nearly $1.5 billion from the 2.1 percent stock rise. Shot at Rival? Quidsi was co-founded by Marc Lore, who sold the company during heated competition from Amazon Mom subscriptions that offered free shipping and perks on baby items. Amazon has been keen to attract subscribers, who order more goods more often, and now is estimated to have more than 50 million U.S. members in its fast-shipping club Prime. Lore went on to found e-commerce startup Jet.com, which was acquired by Wal-Mart Stores Inc (WMT.N) last year in an attempt to rival Amazon online. Lore now is CEO of Wal-Mart's U.S. e-commerce division. It is likely that Prime has grown to the point where members no longer separately shop on Diapers.com or Soap.com so maintenance of separate product-specific sites makes less sense, Wedbush Securities analyst Michael Pachter said. It is possible that they are taking a shot at Mark Lore for competition at Wal-Mart. Amazon on Tuesday announced a test phase of AmazonFresh Pickup, similar to a program offered by Wal-Mart and other grocers. Customers order online and schedule a pickup at stores. The news about Quidsi was reported earlier by Bloomberg. Reporting by Jeffrey Dastin in San Francisco; Editing by Jeffrey Benkoe and Leslie Adler"
https://www.reuters.com/article/us-gm-jobs-idUSKBN16M1SA,GM will rehire 500 Michigan workers slated for layoffs,,"March 15, 2017 /  12:58 PM / 4 months ago",,"WASHINGTON (Reuters) - General Motors Co plans next year to rehire 500 Michigan assembly plant workers who are to be laid off in May, citing increased demand for larger vehicles, the company said on Wednesday. GM said last week it planned to lay off 1,100 workers in May at its Lansing Delta Township assembly plant in Michigan. The company is moving production of the GMC Acadia mid-size SUV to Spring Hill, Tennessee, from the factory, which will build just two models, the Chevrolet Traverse and Buick Enclave SUVs.  The company said that when it begins full production of the new versions of the two models in 2018, it would bring back approximately 500 jobs to give the company flexibility to meet market demand. Last year, pickups and SUVs accounted for 59.5 percent of  U.S. auto sales, up from 55.8 percent in 2015. GM also said it would add 220 jobs at a plant in Romulus, Michigan, that is building 10-speed automatic transmissions, and it would retain 180 jobs by shifting Lansing workers to a Flint assembly plant to support pickup truck production. The announcement came as U.S. President Donald Trump visited Michigan to announce his administration will review fuel efficiency standards, a move that could help automakers sell more larger models.         Trump praised recent job announcements by Ford Motor Co, Fiat Chrysler Automobiles NV and GM.  That's just the beginning, he said in a speech to autoworkers in Ypsilanti, Michigan, on Wednesday. I told (the auto executives) that's peanuts, that's peanuts. We're going to have a lot more. They're going to be building new plants, expanding their plants. Trump has discouraged the industry from investing in Mexico and urged foreign automakers on Wednesday to add U.S. production at a roundtable that included executives from Toyota Motor Corp, Volkswagen AG (VOWG_p.DE) and others.    GM did not credit Trump with the decision to add jobs. We haven’t fundamentally changed any of our plans, but we continue to look for ways to improve our operations and find ways to help the country, grow jobs and support economic growth, GM spokesman Pat Morrissey said. With analysts forecasting U.S. auto sales are at or near their peak, no automaker has announced plans to build a new plant despite pressure from Trump. The Detroit automaker in recent months has announced other U.S. job cuts and new investments. GM said in January it would invest another $1 billion in its U.S. factories. GM said in November it would cut about 2,000 jobs when it ended the third shift at its Lordstown, Ohio, and Lansing Grand River, Michigan, plants in January. In December, it said it planned to cancel the second shift and cut nearly 1,300 jobs from its Detroit-Hamtramck assembly plant in March. Reporting by David Shepardson; Editing by Lisa Von Ahn and Phil Berlowitz"
https://www.reuters.com/article/us-americanapparel-layoffs-idUSKBN15025M,Bankrupt U.S. retailer American Apparel starts layoffs,,"January 16, 2017 /  5:58 PM / 6 months ago",,"(Reuters) - American Apparel LLC said it had started to lay off staff on Monday, after Canadian apparel maker Gildan Activewear Inc (GIL.TO) withdrew its initial plan to acquire some of the bankrupt U.S. fashion retailer's manufacturing operations. Gildan won the rights to American Apparel's brand with an $88 million bid in a bankruptcy auction last week. It had previously indicated it would assume some of its manufacturing operations, which had made the brand synonymous with Made in the U.S.A. American Apparel spokeswoman Arielle Patrick said the company was laying off about 2,400 workers in Southern California. The company had 2,166 employees at its headquarters in Los Angeles, and 959 employees at the nearby South Gate manufacturing facility. Francisco Morales, 56, who made clothes for seven years at the Los Angeles plant, was one of the American Apparel workers to be handed his employment termination notice and his last paycheck on Monday. It's really bad what happened here, really bad, Morales said in Spanish, according to a co-worker who translated into English. He said he had three children and was worried about finding another job with the same benefits, because of his age. The company issued a WARN Act notice several months ago, letting employees know that depending on the buyer of the business, a sale could result in eventual shrinkage of some business areas, American Apparel said in an emailed statement. Last week, American Apparel reached a preliminary deal to sell its Garden Grove manufacturing site to textile manufacturer Broncs Inc, re-launching it as a knitting and dyeing facility.  The company is pleased that it was able to secure a second agreement with Broncs, which plans to save over 300 jobs when they take over the Garden Grove facility, the statement added. Gildan had already indicated it would not take on any of American Apparel's 110 stores. Without another buyer for these stores, American Apparel has started to shut them down. American Apparel filed for a second time for bankruptcy protection, known as a Chapter 11 filing, in November with about $177 million in debt after the failure of a turnaround plan. It had filed for its first Chapter 11 in October 2015 and emerged from bankruptcy early last year. Close to 90 percent of Gildan's 42,000 employees are in Caribbean and Central American countries where costs are lower, and the company does not manufacture clothes other than socks in the United States. Gildan had previously said it would take into account that American Apparel's U.S. manufacturing heritage is a component of the brand but had noted that its manufacturing plan would also consider factors like transportation and energy costs. Gildan is in the process of developing its go-forward plans for the brand, including decisions regarding manufacturing, distribution and go-to-market strategies, company spokesman Garry Bell said in an email.  He said the company would provide more details on its plan in a Feb. 23 conference call.  Reporting by Jessica DiNapoli in New York and Lisa Richwine in Los Angeles; Editing by Frances Kerry and Cynthia Osterman"
https://www.reuters.com/article/boeing-layoffs-idUSL3N1GF4Z1,"Boeing gets 1,880 union workers to take voluntary layoffs",,"March 2, 2017 /  9:17 PM / 5 months ago",,"SEATTLE (Reuters) - Boeing Co (BA.N) has accepted 1,880 voluntary layoffs from its union machinists and engineers in the Seattle area, the unions said on Thursday, part of the jet maker's drive to cut costs through job reductions and other measures. Boeing's machinists union, the touch labor that builds airplanes near Seattle, said about 1,575 workers had taken voluntary layoffs by the deadline in February.  Boeing's white-collar union said Boeing accepted 305 members for voluntary layoffs in January. Last year, Boeing cut about 1,200 white-collar union jobs - 850 through voluntary layoffs and 350 through involuntary reductions, said Bill Dugovich, spokesman for the Society of Professional Engineering Employees in Aerospace.  Boeing has told us to expect about the same number of total layoffs in 2017 as 2016, he said.      The job reductions had been announced last year and workers had until Feb. 1 to apply.  These are all voluntary, where people planned to retire or had other plans, said Connie Kelliher, a spokeswoman for the International Association of Machinists and Aerospace Workers District 751.  Cost-Cutting Drive Boeing said it did not have a specific target number for its job reductions at the commercial airplane unit but was sticking with the broad plan of reducing jobs it outlined in December. We are reducing costs and aligning employment levels to business and market requirements, spokesman Paul Bergman  said. Employment reductions will come through a combination of attrition, leaving open positions unfilled, voluntary layoff program and in some cases, involuntary layoffs. Boeing offered the buyouts to workers last year as part of an 8 percent workforce reduction at its commercial airplane business. The unit had about 74,600 workers at the end of February. Boeing said in December it would cut an as-yet-undetermined number of jobs in 2017. No machinists have had involuntary layoffs for several years, Kelliher said. Boeing's shares closed down 0.5 percent at $182.99 on the New York Stock Exchange. Reporting by Alwyn Scott in Seattle; Additional reporting by Arunima Banerjee in Bengaluru; Editing by Phil Berlowitz and Peter Cooney"
https://www.reuters.com/article/boeing-layoffs-idUSL1N1F101G,Boeing internal memo sets details of engineer layoffs in 2017,,"January 11, 2017 /  12:29 AM / 7 months ago",,"SEATTLE (Reuters) - Boeing Co (BA.N) warned on Tuesday that it will conduct involuntary layoffs of engineers, part of a cost-cutting drive as the aerospace and defense company responds to increasing competition amid slowing aircraft sales. The reductions, disclosed in an internal memo seen by Reuters, also include dozens of job categories eligible for voluntary layoffs in Washington state, southern California and South Carolina. Boeing did not indicate the number of reductions the company planned. Vice Chairman Ray Conner and Commercial Airplanes Chief Executive Officer Kevin McAllister said last month that Boeing would continue job cuts in 2017. The company slashed employment by 10,828 jobs last year. About two-thirds of those reductions were in Washington state. While we have made good progress, more changes are needed to ensure our long-term future, John Hamilton, vice president of engineering at Boeing Commercial Airplanes, wrote in the memo. We continue to operate in an environment characterized by fewer sales opportunities and tough competition. The announcement came as Boeing teamed up with a new lobbying group on Tuesday to defend $8.7 billion of tax breaks in Washington state granted to the aerospace industry in 2013. The new group opposes efforts to tie the incentives to Boeing employment. The engineering layoffs are part of a larger reduction at the company's airplane unit.  Once plans are finalized across other functions, that information will‎ be shared with employees, Boeing spokesman  Doug Alder said in an email. Each function will determine its own plan. The engineering reductions will take place in stages. Voluntary layoff invitations are being sent Jan. 13 and will take effect April 21. Notices for involuntary reductions will be sent Jan. 20, with layoffs planned for March 24.   Boeing plans two more rounds of engineering layoffs later in the year driven by our business environment and the amount of voluntary attrition, Hamilton said in the memo. Reporting by Alwyn Scott; Editing by Sandra Maler and Bill Rigby"
https://www.reuters.com/article/us-boeing-layoffs-idUSKBN1692V7,"Boeing gets 1,880 union workers to take voluntary layoffs",,"March 2, 2017 /  9:17 PM / 5 months ago",,"SEATTLE (Reuters) - Boeing Co (BA.N) has accepted 1,880 voluntary layoffs from its union machinists and engineers in the Seattle area, the unions said on Thursday, part of the jet maker's drive to cut costs through job reductions and other measures. Boeing's machinists union, the touch labor that builds airplanes near Seattle, said about 1,575 workers had taken voluntary layoffs by the deadline in February.  Boeing's white-collar union said Boeing accepted 305 members for voluntary layoffs in January. Last year, Boeing cut about 1,200 white-collar union jobs - 850 through voluntary layoffs and 350 through involuntary reductions, said Bill Dugovich, spokesman for the Society of Professional Engineering Employees in Aerospace.  Boeing has told us to expect about the same number of total layoffs in 2017 as 2016, he said.      The job reductions had been announced last year and workers had until Feb. 1 to apply.  These are all voluntary, where people planned to retire or had other plans, said Connie Kelliher, a spokeswoman for the International Association of Machinists and Aerospace Workers District 751.  Cost-Cutting Drive Boeing said it did not have a specific target number for its job reductions at the commercial airplane unit but was sticking with the broad plan of reducing jobs it outlined in December. We are reducing costs and aligning employment levels to business and market requirements, spokesman Paul Bergman  said. Employment reductions will come through a combination of attrition, leaving open positions unfilled, voluntary layoff program and in some cases, involuntary layoffs. Boeing offered the buyouts to workers last year as part of an 8 percent workforce reduction at its commercial airplane business. The unit had about 74,600 workers at the end of February. Boeing said in December it would cut an as-yet-undetermined number of jobs in 2017. No machinists have had involuntary layoffs for several years, Kelliher said. Boeing's shares closed down 0.5 percent at $182.99 on the New York Stock Exchange. Reporting by Alwyn Scott in Seattle; Additional reporting by Arunima Banerjee in Bengaluru; Editing by Phil Berlowitz and Peter Cooney"
https://www.reuters.com/article/us-teva-pharm-ind-workers-idUSKBN16U0RI,"Teva Pharm says media reports of up to 6,000 layoffs incorrect",,"March 23, 2017 /  8:32 AM / 4 months ago",,"JERUSALEM (Reuters) - Teva Pharmaceutical Industries' (TEVA.TA) plans to end unprofitable activities and freeze recruitment, but said Israeli media reports of up to 6,000 layoffs were incorrect. Earlier on Thursday, two of Israel's leading financial news websites carried separate reports that Teva, the world's biggest generic drug maker and Israel's largest company, planned to fire between 2,000 and 6,000 workers - or as much as 11 percent of the workforce. A Teva spokesperson had initially declined to comment on the report, but the company later put out a statement saying the figures the media gave were inaccurate. The efficiency program is an integral part of Teva's business reality. The program includes, among other things, ending unprofitable activities and consolidating functions, in addition to freezing recruitment and natural employee turnover, the company said. These processes are conducted through a continuous open dialogue with the employees. This will be the practice, including in Israel, as necessary. We would like to stress that the numbers which were published in the media are incorrect, it said. Teva (TEVA.N) employs around 57,000 people globally. It has had a rough year, though, with a series of costly acquisitions, along with delayed drug launches, sending its stock plummeting 72 percent to $32.61 the past 12 months. That forced former chief executive Erez Vigodman to step down in February, with Chairman Yitzhak Peterburg replacing him on a temporary basis. One of the websites, Calcalist, said Teva has already reduced its workforce in Israel by around 100 people as part of the efficiency plan. Reporting by Ari Rabinovitch and Steven Scheer; Editing by Ruth Pitchford"
